id;name; price ; discounted_price ;status;is_call_for_price;short_description;description;image_url;Image_url_2;Image_url_3;Image_url_4
2221;AM cleaner Denmark record cleaner set pembersih turntable vinyl; IDR575.000,00 ; IDR-   ;hot;0;"Record Cleaner Set
> Contains 45ml Record cleaner fluid, Vinyl brush, Stylus cleaner and lint free cotton cloth
> Effectively removes dust, grit and particles 
> Reduces stylus and record wear


 Essential cleaning, stabilising and anti-static treatment for your vinyl records and stylus. The specially formulated non-abrasive Record cleaner and anti-static Vinyl brush safely and efficiently eliminate grime, dirt and static build-up from your vinyl collection. The Stylus cleaner lifts dust, grit and particles worn from the stylus tip.

The non-abrasive cleaning fluid lifts the gunk from the grooves without damaging your beloved vinyl, while the lint free cotton cloth absorbs oils and clings onto the dirt you can see and the grime that you can’t.";"Record Cleaner Set

	> Contains 45ml Record cleaner fluid, Vinyl brush, Stylus cleaner and lint free cotton cloth

	> Effectively removes dust, grit and particles 

	> Reduces stylus and record wear

	 

	 

	 Essential cleaning, stabilising and anti-static treatment for your vinyl records and stylus. The specially formulated non-abrasive Record cleaner and anti-static Vinyl brush safely and efficiently eliminate grime, dirt and static build-up from your vinyl collection. The Stylus cleaner lifts dust, grit and particles worn from the stylus tip.

	 

	The non-abrasive cleaning fluid lifts the gunk from the grooves without damaging your beloved vinyl, while the lint free cotton cloth absorbs oils and clings onto the dirt you can see and the grime that you can’t.";http://www.audiocentre.co.id/product/2221/1/am1.jpg;http://www.audiocentre.co.id/product/2221/2/am4.jpg;http://www.audiocentre.co.id/product/2221/3/am2.jpg;http://www.audiocentre.co.id/product/2221/4/am3.jpg
1635;AM Cleansound Record Weight Turntable; IDR975.000,00 ; IDR-   ;hot;0;Record weight;"Record weight
	
	300g solid steel weight to both stabilise uneven records and steady rotation speed
	Doubles as centerpiece for singles
	Dimension: 45mm
	
	The Record weight gives you:
	/ 01
	Smoother, richer tonal balance
	/ 02
	Increased dynamic range
	/ 03
	Vast improvement in overall soundstage clarity and instrumental definition
	/ 04
	Improved bass response
	/ 05
	Substantial reduction in vinyl noise floor
	/ 06
	Increased vinyl longevity
	weight 300gr
	material steel
	
	AM Denmark
	Clean sound since 1971";http://www.audiocentre.co.id/product/1635/1/record1.jpg;http://www.audiocentre.co.id/product/1635/2/record2.jpg;;
2275;AM Denmark Anti Static Vinyl Carbon Brush Sikat Turntable LP; IDR290.000,00 ; IDR-   ;;0;"Vinyl brush
Drain the static charge from your records and lift any residual dust and grime. The conductivity of the brush’s carbon fibre bristles eliminates static charges while gently and efficiently removing the dust, grit and particles that bung up your vinyl’s grooves and degrade your record’s sound. The conductive carbon fibers reach deep into the grooves of your vinyl to remove even the smallest particles, leaving your records clean while prolonging the life of vinyl and stylus.";"Vinyl brush

	 

	Anti-static, ultra fine carbon fibre brush. Effectively lifts dust, grit and particles to reduce friction without damaging your records.

	 

	Vinyl brush

	Drain the static charge from your records and lift any residual dust and grime. The conductivity of the brush’s carbon fibre bristles eliminates static charges while gently and efficiently removing the dust, grit and particles that bung up your vinyl’s grooves and degrade your record’s sound. The conductive carbon fibers reach deep into the grooves of your vinyl to remove even the smallest particles, leaving your records clean while prolonging the life of vinyl and stylus.

	 

	 

	Handle : Aluminium

	Frame : ABS

	Brush : Carbon fibre

	Carbon fibre bristles : 528,000

	 

	Weight : 31g

	Height : 114mm

	Width : 32mm

	Depth : 18mm

	 

	 

	The Vinyl brush gives you:

	/ 01 Pivoting brush assembly with self-cleaning design

	/ 02 Increased dynamic range

	/ 03 Vast improvement in overall soundstage clarity and instrumental definition

	/ 04 Substantial reduction in vinyl noise floor

	/ 05 Increased vinyl and stylus longevity";http://www.audiocentre.co.id/product/2275/1/VinylBrush.jpg;http://www.audiocentre.co.id/product/2275/2/2.jpg;http://www.audiocentre.co.id/product/2275/3/174712_3ce6ec74-7e9d-4a18-b60f-7ba264f88749_554_554.jpg;http://www.audiocentre.co.id/product/2275/4/1.jpg
2277;AM Denmark Record Cleaner Brush Stylus Set Pembersih Piringan Hitam; IDR850.000,00 ; IDR-   ;;0;AM Denmark Record Cleaner Set: 1 Buah Record Cleaner 1 Buah Stylus Cleaner 1 Buah Brush Cleane;"AM Denmark Record Cleaner Set:

	1 Buah Record Cleaner

	1 Buah Stylus Cleaner

	1 Buah Brush Cleane";http://www.audiocentre.co.id/product/2277/1/RecordCleanerSet.jpg;http://www.audiocentre.co.id/product/2277/2/174712_68569cfb-65ea-4da2-a826-22ddea59b3ba_425_425.jpg;http://www.audiocentre.co.id/product/2277/3/987863157_d9b9677f-4ea2-48ca-8f20-2ff651a5d105_452_452.jpg;http://www.audiocentre.co.id/product/2277/4/174712_3ce6ec74-7e9d-4a18-b60f-7ba264f88749_554_554.jpg
2274;AM Denmark Record Cleaner Pembersih LP Vinyl Piringan Hitam Turntable; IDR315.000,00 ; IDR-   ;;0;"Record cleaner
Getting down and dirty in the grooves of your vinyl since 1971, the AM Record cleaner is the safest and most effective way to freshen up your record collection. AM Record Cleaner is the original non-abrasive deep cleaning solution, specially formulated to eliminate dust, dirt and static build-up. Experience dramatically improved sound quality and prolonged record life. The reduction in friction during playback will also hugely benefit the longevity of your stylus. Ideal for every day cleaning or even the dirtiest vinyl. Apply the solution to the lint free cotton cloth to absorb oil and grime without leaving a residue.";"Record cleaner

	 

	200ml non-abrasive and residue-free vinyl cleaning fluid

	Includes lint free cotton cloth

	Safely and efficiently eliminates dust, dirt and static buildup

	Cleans up to 1000 record sides

	 

	Record cleaner

	Getting down and dirty in the grooves of your vinyl since 1971, the AM Record cleaner is the safest and most effective way to freshen up your record collection. AM Record Cleaner is the original non-abrasive deep cleaning solution, specially formulated to eliminate dust, dirt and static build-up. Experience dramatically improved sound quality and prolonged record life. The reduction in friction during playback will also hugely benefit the longevity of your stylus. Ideal for every day cleaning or even the dirtiest vinyl. Apply the solution to the lint free cotton cloth to absorb oil and grime without leaving a residue.

	 

	Contains : 200ml

	Liquid : Water based and non-flammable

	Uses : Cleans up to 1000 record sides

	Weight : 249g

	Height : 150mm

	Diameter : 58mm

	Cloth material : Lint free 100% cotton

	Cloth dimensions : 240x160mm

	Bottle material : PET

	Atomiser material : PE

	Lid material : PE

	 

	The Record cleaner gives you:

	/ 01 Smoother, richer tonal balance

	/ 02 Increased dynamic range

	/ 03 Vast improvement in overall soundstage clarity and instrumental definition

	/ 04 Improved bass response

	/ 05 Substantial reduction in vinyl noise floor

	/ 06 Increased vinyl longevity";http://www.audiocentre.co.id/product/2274/1/RecordCleaner200ml.jpg;http://www.audiocentre.co.id/product/2274/2/987863157_d9b9677f-4ea2-48ca-8f20-2ff651a5d105_452_452.jpg;http://www.audiocentre.co.id/product/2274/3/ezgif.com-webp-to-jpg28129.jpg;http://www.audiocentre.co.id/product/2274/4/record-cleaner-action403x.jpg
2276;AM Denmark Stylus Cleaner Pembersih Turntable Piringan Hitam Vinyl; IDR290.000,00 ; IDR-   ;;0;"Stylus cleaner
Eliminate dust, dirt and static build-up from your record player’s stylus with the Stylus cleaner. The non-abrasive cleaning fluid and gentle brush extend the life of your vinyl, and ensure the best performance from your turntable. Maintain your stylus to improve tonal accuracy and audio fidelity and lengthen the life of your records.";"Stylus cleaner

	20ml non-abrasive stylus cleaning solution and brush applicator

	Effectively removes dust, grit and particles worn from stylus tip

	Reduces stylus and record wear

	 

	Stylus cleaner

	Eliminate dust, dirt and static build-up from your record player’s stylus with the Stylus cleaner. The non-abrasive cleaning fluid and gentle brush extend the life of your vinyl, and ensure the best performance from your turntable. Maintain your stylus to improve tonal accuracy and audio fidelity and lengthen the life of your records.

	 

	Contains

	20ml

	Liquid

	Water based pick-up cleaning solution

	Height

	100mm

	Width

	19mm

	Bottle material

	 

	PET

	Lid material

	PE Brush material

	The Stylus cleaner gives you:

	/ 01 Smoother, richer tonal balance

	/ 02 Increased dynamic range

	/ 03 Vast improvement in overall soundstage clarity and instrumental definition

	/ 04 Improved bass response

	/ 05 Substantial reduction in vinyl noise floor

	/ 06 Increased vinyl and stylus longevity";http://www.audiocentre.co.id/product/2276/1/StylusCleaner.jpg;http://www.audiocentre.co.id/product/2276/2/1.jpg;http://www.audiocentre.co.id/product/2276/3/174712_566235a4-04d1-42a5-b726-2378f001810f_554_554.jpg;http://www.audiocentre.co.id/product/2276/4/174712_375b358f-123a-4f70-94a7-fcd1d52bb22e_554_554.jpg
2045;ANTHEM AVM 60 AV Processor; IDR50.130.000,00 ; IDR-   ;promo;0;"Multi-channel flexibility
Few A/V Preamplifier-Processors offer the innovation and performance found in the all new AVM 60. Features include Dolby Atmos & DTS:X immersive audio decoding, support for UHD Blu-ray and 4K60 through HDMI 2.0a with HDR. HDCP 2.2 and 18.2 Gbps are also included allowing switching for compatibility with the latest video formats.

Audiophile-friendly features include a toroidal power supply, premium differential-output D/A converters with 32-bit conversion and sampling rate optimized filters for hi-res sound. Premium A/D converters with 106 dB signal to noise ratio ensure the highest- quality sound when using analog sources.
DTS Play-Fi offers easy-to-use music playback from popular streaming services and locally networked sources, controlled through iOS, Android or PC apps.";"Multi-channel flexibility
	Few A/V Preamplifier-Processors offer the innovation and performance found in the all new AVM 60. Features include Dolby Atmos & DTS:X immersive audio decoding, support for UHD Blu-ray and 4K60 through HDMI 2.0a with HDR. HDCP 2.2 and 18.2 Gbps are also included allowing switching for compatibility with the latest video formats.
	
	Audiophile-friendly features include a toroidal power supply, premium differential-output D/A converters with 32-bit conversion and sampling rate optimized filters for hi-res sound. Premium A/D converters with 106 dB signal to noise ratio ensure the highest- quality sound when using analog sources.
	DTS Play-Fi offers easy-to-use music playback from popular streaming services and locally networked sources, controlled through iOS, Android or PC apps.

	 

	

	AVM 60 Features & Functions
	11.2 Pre Amplifier Channels

	
		Dolby Atmos
	
		DRS:X
	
		ARC Anthem Room Correction
	
		4 Spekaer Profile Memories
	
		Quad Core Digital Signal Processing
	
		Two Sub Out Jacks (parallel)
	
		Premoum 32-bit/768 kHz Defferential-Output D/A Converters
	
		Sireless network Connection
	
		DTS Play-Fi + Works with Alexa - Local and Streaming


	HDMI & Video

	
		HDMI 2.0a
	
		HDC 2.2
	
		4:4:4 Subsampling at 4K60 (18.2 Gbps)
	
		High Dynamic Range (HDR)
	
		Dolby Vision Compatible
	
		Hybrid Log Gamma (HLG)
	
		BT:2020 Color Gambut
	
		On-Screen Display with 4K 50/60
	
		4K 50/60 Switching


	 

	TECH SPEC

	
		
			
				PREAMPLIFIER (MEASURED AT XLR OUTPUT)
		
		
			
				Maximum Output (<0.1% THD)
			
				8.4 Vrms, subwoofer channel 9.9 Vrms
		
		
			
				Frequency Response (2 Vrms output)
			
				10 Hz — 35 kHz (+0, -0.25 dB)
		
		
			
				Frequency Response, Analog-Direct (2 Vrms output)
			
				10 Hz — 80 kHz (+0, -0.25 dB)
		
		
			
				THD+N (2 Vrms output)
			
				-95 dB
		
		
			
				S/N Ratio (2 Vrms output, IEC-A filter)
			
				110 dB
		
		
			
				XLR Configuration
			
				Pin 1: Ground, Pin 2: Positive, Pin 3: Negative
		
		
			
				POWER CONSUMPTION
		
		
			
				Typical Load
			
				60 W
		
		
			
				Standby
			
				0.3 W
		
		
			
				Standby IP Control Enabled
			
				4.7 W
		
		
			
				Standby HDMI Bypass Enabled
			
				8.2 W
		
		
			
				DIMENSIONS
		
		
			
				Height
			
				6-1/2"" (16.5 cm)
		
		
			
				Height with Rackmount Kit
			
				4U
		
		
			
				Width
			
				17-1/4"" (43.9 cm)
		
		
			
				Depth (not including power cord)
			
				14-1/2"" (36.4 cm)
		
		
			
				Weight
			
				20 lb (9 kg)";http://www.audiocentre.co.id/product/2045/1/AVM60.jpg;http://www.audiocentre.co.id/product/2045/2/anthem_avm60_front_1_.jpg;http://www.audiocentre.co.id/product/2045/3/avm60-details-2.jpg;http://www.audiocentre.co.id/product/2045/4/g973AVM60-F.jpg
2042;ANTHEM M1 Power Amplifier; IDR58.500.000,00 ; IDR-   ;promo;0;The highest sound quality at all volume levels, flat frequency response into any load, and stable into the most difficult loads. The Statement M1 is a state-of-the-art monaural amplifier delivering 1,000 watts into 8 ohms and 2,000 watts into 4 ohms or less with THD remaining under 0.1% from 20 Hz to 20 kHz. Designed and engineered in our advanced research center in Ottawa, Canada, the M1 is manufactured in our Toronto facility.;"The highest sound quality at all volume levels, flat frequency response into any load, and stable into the most difficult loads. The Statement M1 is a state-of-the-art monaural amplifier delivering 1,000 watts into 8 ohms and 2,000 watts into 4 ohms or less with THD remaining under 0.1% from 20 Hz to 20 kHz. Designed and engineered in our advanced research center in Ottawa, Canada, the M1 is manufactured in our Toronto facility.

	More than just a slim, technologically advanced monaural design, the M1 demonstrates that Class D architecture isn't fundamentally flawed, it simply hasn't been implemented well in the past, mainly because it required such a heavy commitment to R&D. We’re fortunate to have the in-house resources to create such a groundbreaking product and one listen will reveal the truly extraordinary nature of this amplifier.

	 

	

	 

	SPEC ANTHEM M1
	POWER OUTPUT:
	8 ohms = 1000W
	4 ohms = 2000W
	3 ohms = 2400W
	2 ohms = >2000W depending on line voltage regulation
	
	Freq. Response
	Open Circuit = +/- 0.1 dB
	8 ohms = +/- 0.1 dB
	4 ohms = +/- 0.1 dB
	2 ohms = +/- 0.2 dB
	
	Power Bandwith 1000W at 8 ohms 5Hz to 45 kHz
	
	THD+N at 1kHz, 8 ohms
	1W = 0.01%
	10W = 0.01%
	100W = <0.03%
	1000w= <0.06%
	
	IMD: 19KhZ + 20 kHz, CCIF = 0.003%
	S/N Ratio ref.1000W, IEC-A = 113 dB
	Input Sensitivity = 100 mV for 1W output, 3.2V for 1000W output (8 ohms)
	Input Impedance = 10 ohms (RCA), 20 ohmas (XLR)
	Damping Factor = 800 ti 1400 depending on frequency
	XLR Configuration = Pin 1: Ground, Ping 2: Positive, Pin 3: Negative
	
	POWER REQUIMENTS
	Consumption:
	Standby Mode, 120V mains = <1W
	Standby Mode, 240V mains = <2W
	Operate mode, idle = 33W
	Typical Operation = 300W
	
	DIMENSIONS (WxHxD) = 49cm X 5.7cm X 47.6cm
	Weight = 20lb (9kg)";http://www.audiocentre.co.id/product/2042/1/M1.jpg;http://www.audiocentre.co.id/product/2042/2/anthem_statementm1.jpg;http://www.audiocentre.co.id/product/2042/3/m1.png;http://www.audiocentre.co.id/product/2042/4/Untitled.png
2046;ANTHEM MCA 225 Power Amplifier; IDR33.400.000,00 ; IDR-   ;promo;0;"To complement the NEW AVM 60 A/V Processor, Anthem introduces the new MCA 525, 325 and 225 power amplifiers. Available in 5, 3 and 2-channel configurations, these new MCA amplifiers feature more robust and efficient power and heavy-duty reliability. The new MCA Series delivers lower THD (total harmonic distortion) for more clean, pure sound and lower noise for a supremely quiet background.

Like all Anthem products the MCA 525, MCA 325 and MCA 225, designed and Crafted in Canada, are like no other amplifiers in the world: custom low noise high-power toroidal transformers; high-current bipolar output transistors; high-quality filter capacitors; advanced power supply regulators; oversized aluminum heatsinks; custom-designed dual binding posts; and patented auto-on/off circuitry. Superior craftsmanship that is reflected in clean, clear, audiophile-quality sound from top to bottom of the frequency spectrum.";"New MCA multi-channel amplifiers are Crafted in Canada and perfectly match the new AVM 60 processor & MRX receivers.

	To complement the NEW AVM 60 A/V Processor, Anthem introduces the new MCA 525, 325 and 225 power amplifiers. Available in 5, 3 and 2-channel configurations, these new MCA amplifiers feature more robust and efficient power and heavy-duty reliability. The new MCA Series delivers lower THD (total harmonic distortion) for more clean, pure sound and lower noise for a supremely quiet background.
	
	Like all Anthem products the MCA 525, MCA 325 and MCA 225, designed and Crafted in Canada, are like no other amplifiers in the world: custom low noise high-power toroidal transformers; high-current bipolar output transistors; high-quality filter capacitors; advanced power supply regulators; oversized aluminum heatsinks; custom-designed dual binding posts; and patented auto-on/off circuitry. Superior craftsmanship that is reflected in clean, clear, audiophile-quality sound from top to bottom of the frequency spectrum.

	 

	

	 

	MCA 225 Features & Functions
	
	225W in 2-Channels

	
		Delivers lower THD (Total Harmonic Distortion) for claner, pure sound and lower noise.
	
		Completely redesign for improved audio performance and reliability.
	
		Higher current output for lower distortion
	
		Cosmetic match for AVM 69 A/V Preamplifier-Processor
	
		Improved Avance Load Monitoring system
	
		8 Bipolar output device per channel for less stress on each device
	
		Less than 2 Watts standby power consumption
	
		Crafted in Canada


	 

	TECH SPEC MCA 225

	
		
			
				POWER OUTPUT (PER CHANNEL)
				(Continuous RMS, 20 Hz - 20 kHz, <1% THD)
		
		
			
				
					
						
							
								Impedance
							
								8Ω
							
								4Ω
							
								2Ω
						
						
							
								 
							
								225 W
							
								400 W
							
								600 W
						
					
				
			
		
		
			
				 
		
		
			
				INPUTS / OUTPUTS
		
		
			
				Inputs
			
				Single-Ended, Balanced, Relay Trigger (3.5-mm Mono Jack)
		
		
			
				Outputs
			
				Speaker Binding Posts, Relay Trigger (3.5-mm Mono Jack)
		
		
			
				SWITCHES
		
		
			
				Front Panel
			
				Power (On/Off)
		
		
			
				Rear Panel
			
				3 On/Off Modes (Trigger, Manual, Auto)
		
		
			
				THD AT 100W
		
		
			
				at 1 kHz
			
				0.0010%
		
		
			
				at 20 kHz
			
				0.015%
		
		
			
				IMD AT 100 W
		
		
			
				ITU-R (19 kHz + 20 kHz)
			
				0.0005%
		
		
			
				SMPTE (60 Hz + 7 kHz)
			
				0.002%
		
		
			
				FREQUENCY RESPONSE, 20 HZ TO 20 KHZ
		
		
			
				open circuit
			
				± 0.1 dB
		
		
			
				8Ω
			
				± 0.1 dB
		
		
			
				4Ω
			
				± 0.1 dB
		
		
			
				2Ω
			
				± 0.2 dB
		
		
			
				OTHER SPECIFICATIONS
		
		
			
				SNR, IEC-A, ref. 225 W
			
				120 dB
		
		
			
				Power Bandwidth, -3 dB at 200 W into 8 ohms
			
				90 kHz
		
		
			
				Slew Rate
			
				30 V/μs
		
		
			
				Damping Factor, 20 Hz to 1 kHz
			
				300
		
		
			
				Channel Separation, 100 Hz to 10 kHz
			
				>65 dB
		
		
			
				Input Impedance (RCA / XLR)
			
				10 kΩ / 15 kΩ
		
		
			
				Input Sensitivity, 225 W into 8 Ω
			
				1.5 Vrms
		
		
			
				Voltage Gain
			
				29 dB";http://www.audiocentre.co.id/product/2046/1/MCA225.jpg;http://www.audiocentre.co.id/product/2046/2/mca-225.png;http://www.audiocentre.co.id/product/2046/3/mca225-details-2.jpg;
2047;ANTHEM MCA 325 Power Amplifier; IDR41.850.000,00 ; IDR-   ;promo;0;"To complement the NEW AVM 60 A/V Processor, Anthem introduces the new MCA 525, 325 and 225 power amplifiers. Available in 5, 3 and 2-channel configurations, these new MCA amplifiers feature more robust and efficient power and heavy-duty reliability. The new MCA Series delivers lower THD (total harmonic distortion) for more clean, pure sound and lower noise for a supremely quiet background.

Like all Anthem products the MCA 525, MCA 325 and MCA 225, designed and Crafted in Canada, are like no other amplifiers in the world: custom low noise high-power toroidal transformers; high-current bipolar output transistors; high-quality filter capacitors; advanced power supply regulators; oversized aluminum heatsinks; custom-designed dual binding posts; and patented auto-on/off circuitry. Superior craftsmanship that is reflected in clean, clear, audiophile-quality sound from top to bottom of the frequency spectrum.";"New MCA multi-channel amplifiers are Crafted in Canada and perfectly match the new AVM 60 processor & MRX receivers.
	To complement the NEW AVM 60 A/V Processor, Anthem introduces the new MCA 525, 325 and 225 power amplifiers. Available in 5, 3 and 2-channel configurations, these new MCA amplifiers feature more robust and efficient power and heavy-duty reliability. The new MCA Series delivers lower THD (total harmonic distortion) for more clean, pure sound and lower noise for a supremely quiet background.
	
	Like all Anthem products the MCA 525, MCA 325 and MCA 225, designed and Crafted in Canada, are like no other amplifiers in the world: custom low noise high-power toroidal transformers; high-current bipolar output transistors; high-quality filter capacitors; advanced power supply regulators; oversized aluminum heatsinks; custom-designed dual binding posts; and patented auto-on/off circuitry. Superior craftsmanship that is reflected in clean, clear, audiophile-quality sound from top to bottom of the frequency spectrum.

	MCA 325 Features & Functions
	225W in 3-Channels

	
		Delivers lower THD 9Total Harmonic Distortion) for cleaner, pure sound and lower noise
	
		Comletely redesign for improved audio performance and reliability
	
		Higher current output for lower distortion
	
		Cosmetic match for AVM 60 A/V Preamlifier-Procesor
	
		Improved Advance load Monitoring system
	
		8 bipolar output devices per channel for less stress on each device
	
		Less than 2 watts standby power consumption
	
		Cragfted in Canada


	

	 

	 

	TECH SPEC ANTHEM MCA 325

	
		
			
				POWER OUTPUT (PER CHANNEL)
				(Continuous RMS, 20 Hz - 20 kHz, <1% THD)
		
		
			
				
					
						
							
								Impedance
							
								8Ω
							
								4Ω
							
								2Ω
						
						
							
								 
							
								225 W
							
								400 W
							
								600 W
						
					
				
			
		
		
			
				 
		
		
			
				INPUTS / OUTPUTS
		
		
			
				Inputs
			
				Single-Ended, Balanced, Relay Trigger (3.5-mm Mono Jack)
		
		
			
				Outputs
			
				Speaker Binding Posts, Relay Trigger (3.5-mm Mono Jack)
		
		
			
				SWITCHES
		
		
			
				Front Panel
			
				Power (On/Off)
		
		
			
				Rear Panel
			
				3 On/Off Modes (Trigger, Manual, Auto)
		
		
			
				THD AT 100W
		
		
			
				at 1 kHz
			
				0.0010%
		
		
			
				at 20 kHz
			
				0.015%
		
		
			
				IMD AT 100 W
		
		
			
				ITU-R (19 kHz + 20 kHz)
			
				0.0005%
		
		
			
				SMPTE (60 Hz + 7 kHz)
			
				0.002%
		
		
			
				FREQUENCY RESPONSE, 20 HZ TO 20 KHZ
		
		
			
				open circuit
			
				± 0.1 dB
		
		
			
				8Ω
			
				± 0.1 dB
		
		
			
				4Ω
			
				± 0.1 dB
		
		
			
				2Ω
			
				± 0.2 dB
		
		
			
				OTHER SPECIFICATIONS
		
		
			
				SNR, IEC-A, ref. 225 W
			
				120 dB
		
		
			
				Power Bandwidth, -3 dB at 200 W into 8 ohms
			
				90 kHz
		
		
			
				Slew Rate
			
				30 V/μs
		
		
			
				Damping Factor, 20 Hz to 1 kHz
			
				300
		
		
			
				Channel Separation, 100 Hz to 10 kHz
			
				>65 dB
		
		
			
				Input Impedance (RCA / XLR)
			
				10 kΩ / 15 kΩ
		
		
			
				Input Sensitivity, 225 W into 8 Ω
			
				1.5 Vrms
		
		
			
				Voltage Gain
			
				29 dB
		
	


	
		
			
				POWER CONSUMPTION
		
		
			
				 
			
				standby
			
				idle
			
				typical
			
				high output
		
		
			
				MCA 525
			
				2.0 W
			
				80 W
			
				550 W
			
				1200 W
		
		
			
				MCA 325
			
				1.4 W
			
				47 W
			Stereo System ⇒ Power & Pre-Amp
				
				
					
						
							
															
									
									ROTEL Michi P5 Control Amplifier
									Rp 61.750.000,-
									
								
								 
															
									
									McIntosh C53 Pre Amplifier
									Rp 128.905.000,-
									
								
								 
															
									
									McIntosh MC462 Amplifier
									Rp 145.000.000,-
									
								
								 
															
									
									ROTEL RB-1590 Power Amplifier
									Rp 45.450.000,-
									
								
								 
														
						
					
				
                
					 
				
				
                	
                		
				        
				            /* * * CONFIGURATION VARIABLES: EDIT BEFORE PASTING INTO YOUR WEBPAGE * * */
				            var disqus_shortname = 'audiocentre'; // required: replace example with your forum shortname

				            /* * * DON'T EDIT BELOW THIS LINE * * */
				            (function() {
				                var dsq = document.createElement('script'); dsq.type = 'text/javascript'; dsq.async = true;
				                dsq.src = 'http://' + disqus_shortname + '.disqus.com/embed.js';
				                (document.getElementsByTagName('head')[0] || document.getElementsByTagName('body')[0]).appendChild(dsq);
				            })();
				        
				        Please enable JavaScript to view the <a href=""http://disqus.com/?ref_noscript"">comments powered by Disqus.</a>
				        comments powered by Disqus";http://www.audiocentre.co.id/product/2047/1/MCA325.jpg;http://www.audiocentre.co.id/product/2047/2/23421813184_8af0875312_b.jpg;http://www.audiocentre.co.id/product/2047/3/Anthem-MCA-325-1.png;http://www.audiocentre.co.id/product/2047/4/mca325-details-2.jpg
